runNum,gaVal,tNum,tType,rt,kp,kpAcc,ret,retAcc
Run3,0.8933181395684433,66,nonlure,0.58,j,1,CUE6-0,1
Run3,0.8933181395684433,67,lure,0.6,j,1,CUE6-0,1
Run3,0.8933181395684433,68,nonlure,0.59,j,1,CUE6-0,1
Run3,0.8933181395684433,69,lure,0.5,j,1,CUE6-0,1
Run3,0.8933181395684433,70,nonlure,0.516,j,1,CUE6-0,1
Run3,0.8933181395684433,71,nonlure,0.56,j,1,CUE7-0,1
Run3,0.8933181395684433,72,nonlure,0.64,j,1,CUE7-0,1
Run3,0.8933181395684433,73,lure,0.516,j,1,CUE7-0,1
Run3,0.8933181395684433,74,nonlure,0.68,j,1,CUE7-0,1
Run3,0.8933181395684433,75,lure,0.7,j,1,CUE7-0,1
Run3,0.8933181395684433,76,target,0.7,f,1,CUE7-0,1
Run3,0.8933181395684433,77,target,0.33,f,1,CUE7-0,1
Run3,0.8933181395684433,78,nonlure,0.6,j,1,CUE7-0,1
Run3,0.8933181395684433,79,nonlure,0.45,j,1,CUE7-0,1
Run3,0.8933181395684433,80,lure,0.49,j,1,CUE7-0,1
Run4,0.9118102037357227,1,nonlure,0.675,j,1,CUE0-0,1
Run4,0.9118102037357227,2,target,0.651,f,1,CUE0-0,1
Run4,0.9118102037357227,3,nonlure,0.77,j,1,CUE0-0,1
Run4,0.9118102037357227,4,nonlure,0.59,j,1,CUE0-0,1
Run4,0.9118102037357227,5,lure,0.524,j,1,CUE0-0,1
Run4,0.9118102037357227,6,target,0.662,f,1,CUE0-0,1
Run4,0.9118102037357227,7,nonlure,0.692,j,1,CUE0-0,1
Run4,0.9118102037357227,8,lure,0.527,j,1,CUE0-0,1
Run4,0.9118102037357227,9,lure,0.535,j,1,CUE0-0,1
Run4,0.9118102037357227,10,nonlure,0.458,j,1,CUE0-0,1
Run4,0.9118102037357227,11,target,0.734,f,1,CUE1-0,1
Run4,0.9118102037357227,12,nonlure,1.004,j,1,CUE0-0,0
Run4,0.9118102037357227,13,nonlure,0.786,j,1,CUE1-0,1
Run4,0.9118102037357227,14,nonlure,0.748,j,1,CUE1-0,1
Run4,0.9118102037357227,15,lure,0.734,j,1,CUE1-0,1
Run4,0.9118102037357227,16,nonlure,0.973,j,1,CUE0-0,0
Run4,0.9118102037357227,17,lure,0.629,j,1,CUE1-0,1
Run4,0.9118102037357227,18,lure,0.782,j,1,CUE0-0,0
Run4,0.9118102037357227,19,target,0.651,f,1,CUE1-0,1
Run4,0.9118102037357227,20,nonlure,0.861,j,1,CUE0-0,0
Run4,0.9118102037357227,21,nonlure,0.682,j,1,CUE2-0,1
Run4,0.9118102037357227,22,lure,0.604,j,1,CUE2-0,1
Run4,0.9118102037357227,23,nonlure,0.518,j,1,CUE2-0,1
Run4,0.9118102037357227,24,target,0.568,f,1,CUE2-0,1
Run4,0.9118102037357227,25,nonlure,0.778,j,1,CUE2-0,1
Run4,0.9118102037357227,26,nonlure,0.475,j,1,CUE2-0,1
Run4,0.9118102037357227,27,target,0.767,f,1,CUE2-0,1
Run4,0.9118102037357227,28,nonlure,0.674,j,1,CUE2-0,1
Run4,0.9118102037357227,29,lure,0.439,j,1,CUE2-0,1
Run4,0.9118102037357227,30,lure,0.65,j,1,CUE2-0,1
Run4,0.9118102037357227,31,nonlure,0.572,j,1,CUE3-0,1
Run4,0.9118102037357227,32,nonlure,0.405,j,1,CUE3-0,1
Run4,0.9118102037357227,33,lure,0.659,j,1,CUE3-0,1
Run4,0.9118102037357227,34,nonlure,0.503,j,1,CUE3-0,1
Run4,0.9118102037357227,35,nonlure,0.695,j,1,CUE3-0,1
Run4,0.9118102037357227,36,nonlure,0.48,j,1,CUE3-0,1
Run4,0.9118102037357227,37,lure,0.418,j,1,CUE3-0,1
Run4,0.9118102037357227,38,target,0.603,f,1,CUE3-0,1
Run4,0.9118102037357227,39,lure,0.751,j,1,CUE3-0,1
Run4,0.9118102037357227,40,target,0.614,f,1,CUE3-0,1
